order_id,order_date,store_location,lens_type,lens_index,power,coating,frame_type,inventory_available,current_stage,sla_hours,time_in_stage_hours,total_processing_hours,qc_failed,reorder_required,delay_reason,delayed
77,2025-01-19,Bangalore,Bifocal,1.67,-7.46,UV Protection,Half Rim,1,Delivered,96,14,51,0,0,,0
78,2024-12-01,Bangalore,Single Vision,1.6,2.98,Anti Glare,Sports,1,Coating,48,15,49,0,0,,0
79,2024-12-31,Hyderabad,Single Vision,1.74,1.2,Photochromic,Half Rim,1,Order Placed,48,30,32,0,0,,0
80,2026-05-05,Hyderabad,Single Vision,1.74,-0.47,UV Protection,Half Rim,1,Lens Cutting,48,37,47,1,1,,0
81,2025-09-26,Hyderabad,Bifocal,1.6,4.6,Anti Glare,Sports,0,Order Placed,96,61,88,0,0,,0
82,2025-06-06,Delhi,High Index,1.74,-6.37,Photochromic,Half Rim,1,Order Placed,168,50,108,0,0,,0
83,2025-03-02,Bangalore,Progressive,1.56,0.28,Blue Cut,Aviator,0,QC,120,35,192,0,0,Logistics Delay,1
84,2025-09-07,Mumbai,Single Vision,1.5,-4.99,Photochromic,Full Rim,1,Order Placed,48,23,71,0,0,,0
85,2026-06-07,Chennai,Single Vision,1.6,-1.6,Blue Cut,Half Rim,1,Lens Cutting,48,39,30,0,0,,0
86,2026-05-13,Bangalore,Progressive,1.74,2.81,Blue Cut,Rimless,0,QC,120,4,147,0,0,QC Failure,1
87,2024-10-29,Mumbai,Bifocal,1.6,-0.79,Blue Cut,Aviator,1,Coating,96,23,131,0,0,,0
88,2025-12-04,Bangalore,Bifocal,1.74,-7.99,Anti Glare,Rimless,1,QC,96,18,71,0,0,,0
89,2024-10-14,Chennai,Progressive,1.67,-7.95,Blue Cut,Aviator,0,Shipped,120,53,212,0,0,QC Failure,1
90,2025-07-05,Mumbai,Progressive,1.56,-4.63,UV Protection,Rimless,0,QC,120,31,156,0,0,Inventory Shortage,1
91,2026-06-01,Delhi,Single Vision,1.56,2.46,UV Protection,Aviator,1,Packing,48,55,45,0,0,,0
92,2024-11-24,Delhi,Single Vision,1.5,-4.78,Anti Glare,Full Rim,1,Delivered,48,21,49,1,1,Logistics Delay,1
93,2026-04-23,Chennai,Progressive,1.6,-5.26,Photochromic,Rimless,1,Assembly,120,16,203,0,0,,0
94,2025-12-20,Hyderabad,Progressive,1.74,1.29,Blue Cut,Half Rim,0,Delivered,120,23,61,0,0,,0
95,2026-04-22,Bangalore,Single Vision,1.5,-4.1,Photochromic,Half Rim,1,Delivered,48,12,35,0,0,,0
96,2025-08-02,Bangalore,Progressive,1.74,4.72,Photochromic,Rimless,1,Lens Cutting,120,33,178,1,1,Logistics Delay,1
97,2025-08-08,Bangalore,High Index,1.6,-5.45,Photochromic,Aviator,0,Delivered,168,49,280,0,0,Machine Downtime,1
98,2025-12-30,Chennai,Single Vision,1.6,-6.99,UV Protection,Aviator,1,Coating,48,68,43,0,0,,0
99,2026-05-03,Bangalore,Single Vision,1.6,-3.59,Anti Glare,Rimless,1,Delivered,48,45,32,0,0,,0
100,2026-02-21,Chennai,Bifocal,1.56,-5.41,Blue Cut,Aviator,1,Prescription Verification,96,46,166,0,0,,0
101,2024-08-09,Chennai,Bifocal,1.5,-1.48,Photochromic,Rimless,0,Order Placed,96,67,88,0,0,,0
102,2025-09-05,Mumbai,Single Vision,1.74,1.4,Anti Glare,Sports,0,Coating,48,67,58,1,1,Supplier Delay,1
103,2024-10-03,Bangalore,High Index,1.67,-3.66,Anti Glare,Aviator,0,QC,168,4,161,0,0,,0
104,2024-09-14,Hyderabad,Single Vision,1.6,-3.28,UV Protection,Full Rim,1,QC,48,30,40,0,0,,0
105,2026-02-25,Bangalore,Bifocal,1.67,-7.01,Blue Cut,Half Rim,1,Delivered,96,16,71,0,0,,0
106,2024-08-10,Delhi,Single Vision,1.67,-4.86,Anti Glare,Sports,1,Order Placed,48,47,73,0,0,,0
107,2025-10-21,Bangalore,High Index,1.5,4.9,Photochromic,Full Rim,1,Packing,168,6,170,0,0,,0
108,2026-03-04,Hyderabad,High Index,1.5,-3.12,UV Protection,Sports,1,Packing,168,45,226,0,0,,0
109,2025-06-04,Bangalore,Bifocal,1.67,5.62,Photochromic,Aviator,0,Coating,96,28,95,0,0,Inventory Shortage,1
110,2025-06-27,Bangalore,Progressive,1.67,0.63,Photochromic,Rimless,1,Coating,120,38,175,0,0,,0
111,2026-02-04,Bangalore,Progressive,1.74,-4.4,Photochromic,Aviator,0,Order Placed,120,68,90,0,0,,0
112,2024-11-28,Chennai,Single Vision,1.67,4.65,Photochromic,Half Rim,1,Prescription Verification,48,41,82,0,0,,0
113,2025-01-08,Mumbai,Single Vision,1.5,-5.95,UV Protection,Aviator,1,Assembly,48,24,59,0,0,,0
114,2026-02-16,Bangalore,Bifocal,1.6,0.19,Anti Glare,Aviator,0,Assembly,96,9,78,0,0,,0
115,2025-07-19,Chennai,Single Vision,1.74,-4.48,Anti Glare,Sports,1,Order Placed,48,71,82,0,0,,0
116,2025-05-15,Mumbai,Progressive,1.5,-7.99,Blue Cut,Aviator,1,Prescription Verification,120,5,98,0,0,,0
117,2025-01-18,Hyderabad,Progressive,1.56,-7.3,UV Protection,Rimless,1,Lens Cutting,120,35,141,0,0,,0
118,2025-01-07,Mumbai,Bifocal,1.5,2.99,Photochromic,Full Rim,1,Lens Cutting,96,48,54,0,0,,0
119,2024-07-11,Delhi,Single Vision,1.74,-7.61,Photochromic,Aviator,1,Lens Cutting,48,37,69,0,0,,0
120,2025-03-22,Delhi,Single Vision,1.74,1.88,UV Protection,Full Rim,1,Delivered,48,46,27,0,0,,0
121,2024-08-20,Chennai,Single Vision,1.56,-3.88,UV Protection,Aviator,0,Delivered,48,28,26,1,1,Logistics Delay,1
122,2026-04-05,Mumbai,Single Vision,1.5,-4.87,UV Protection,Rimless,1,Delivered,48,59,85,0,0,,0
123,2024-10-05,Mumbai,Bifocal,1.56,-5.98,UV Protection,Sports,1,Packing,96,31,86,0,0,,0
124,2025-08-12,Delhi,Bifocal,1.56,-2.46,Blue Cut,Half Rim,1,QC,96,54,149,0,0,,0
125,2025-05-28,Delhi,Progressive,1.6,-2.07,Photochromic,Half Rim,0,QC,120,43,164,0,0,Supplier Delay,1
126,2026-02-22,Delhi,Single Vision,1.74,-0.93,Blue Cut,Aviator,1,Assembly,48,43,81,0,0,,0
127,2025-05-09,Hyderabad,Single Vision,1.67,5.82,Anti Glare,Full Rim,1,Assembly,48,6,73,0,0,,0
128,2025-09-17,Bangalore,Single Vision,1.6,4.38,Blue Cut,Rimless,1,Assembly,48,1,65,1,1,Machine Downtime,1
129,2024-09-03,Mumbai,Progressive,1.74,-6.54,Photochromic,Full Rim,1,QC,120,4,74,0,0,,0
130,2024-11-07,Delhi,Progressive,1.5,4.47,UV Protection,Full Rim,1,Order Placed,120,15,137,0,0,,0
131,2025-08-09,Bangalore,Single Vision,1.6,-7.4,UV Protection,Aviator,1,Shipped,48,61,41,0,0,,0
132,2024-09-11,Bangalore,High Index,1.6,-6.0,Anti Glare,Sports,0,QC,168,50,185,0,0,Inventory Shortage,1
133,2025-05-21,Mumbai,Single Vision,1.67,0.98,Anti Glare,Half Rim,1,Shipped,48,19,24,0,0,,0
134,2025-05-23,Delhi,Progressive,1.56,-0.6,Photochromic,Rimless,1,Order Placed,120,52,81,0,0,,0
135,2024-12-16,Hyderabad,Progressive,1.5,-2.79,UV Protection,Aviator,1,Delivered,120,63,215,0,0,,0
136,2025-02-14,Mumbai,Progressive,1.5,1.89,Anti Glare,Full Rim,1,Coating,120,3,138,0,0,,0
137,2025-05-04,Chennai,Single Vision,1.6,-5.38,UV Protection,Rimless,1,Assembly,48,67,71,0,0,,0
138,2025-12-20,Bangalore,High Index,1.5,-2.26,UV Protection,Half Rim,1,Shipped,168,31,215,0,0,,0
139,2025-06-24,Chennai,Single Vision,1.56,-1.61,Blue Cut,Half Rim,1,Packing,48,43,82,0,0,,0
140,2025-01-22,Mumbai,Progressive,1.6,-3.83,UV Protection,Half Rim,1,Delivered,120,48,117,0,0,,0
141,2026-02-18,Chennai,Single Vision,1.6,-6.62,Photochromic,Full Rim,1,Order Placed,48,15,42,0,0,,0
142,2026-01-02,Bangalore,Single Vision,1.6,-6.02,Anti Glare,Rimless,1,Packing,48,55,70,0,0,,0
143,2024-07-28,Mumbai,Bifocal,1.67,-3.29,Photochromic,Aviator,1,Shipped,96,12,106,1,1,Inventory Shortage,1
144,2024-11-16,Bangalore,Single Vision,1.67,-4.66,Photochromic,Half Rim,1,Assembly,48,21,84,0,0,,0
145,2025-06-25,Delhi,Progressive,1.67,4.13,Blue Cut,Rimless,1,Order Placed,120,29,159,0,0,,0
146,2025-05-25,Hyderabad,Single Vision,1.6,1.16,Anti Glare,Full Rim,1,Assembly,48,52,45,0,0,,0
147,2026-02-02,Delhi,Single Vision,1.6,-0.98,Photochromic,Sports,1,QC,48,36,45,0,0,,0
148,2024-07-30,Bangalore,Bifocal,1.74,0.19,Anti Glare,Rimless,0,Lens Cutting,96,47,92,0,0,,0
149,2025-07-17,Chennai,High Index,1.74,-4.42,Photochromic,Sports,0,Shipped,168,24,131,0,0,,0
150,2026-04-30,Mumbai,Bifocal,1.74,-5.68,Anti Glare,Aviator,1,Shipped,96,36,107,0,0,,0
151,2025-04-13,Mumbai,Single Vision,1.5,-6.11,Photochromic,Rimless,1,Assembly,48,60,29,0,0,,0
152,2026-01-17,Chennai,Single Vision,1.5,-5.9,Anti Glare,Aviator,1,Delivered,48,51,56,0,0,,0
153,2025-02-05,Delhi,Single Vision,1.5,-2.43,Photochromic,Full Rim,1,Assembly,48,71,73,0,0,,0
154,2024-11-09,Bangalore,Bifocal,1.56,-7.35,Photochromic,Aviator,1,QC,96,26,171,0,0,,0
155,2025-08-04,Delhi,Progressive,1.6,4.64,Anti Glare,Aviator,0,Shipped,120,17,113,0,0,,0
156,2026-01-09,Chennai,Progressive,1.56,5.74,Blue Cut,Half Rim,1,Assembly,120,10,124,0,0,,0
157,2025-03-20,Hyderabad,Single Vision,1.56,-1.88,Blue Cut,Full Rim,0,Assembly,48,68,55,0,0,Inventory Shortage,1
158,2025-03-25,Chennai,Bifocal,1.56,-1.18,Anti Glare,Sports,1,Shipped,96,56,121,0,0,,0
159,2026-05-18,Hyderabad,Single Vision,1.74,-6.04,Photochromic,Aviator,1,Delivered,48,8,71,0,0,,0
160,2024-06-19,Mumbai,Single Vision,1.6,4.63,Photochromic,Full Rim,1,Prescription Verification,48,36,79,0,0,,0
161,2026-03-05,Hyderabad,Progressive,1.5,-7.68,Blue Cut,Sports,1,Shipped,120,69,193,0,0,,0
162,2026-01-30,Chennai,Progressive,1.67,-3.12,Anti Glare,Full Rim,0,Assembly,120,22,111,0,0,,0
163,2025-04-29,Bangalore,Single Vision,1.6,-6.53,Blue Cut,Rimless,1,Prescription Verification,48,6,41,0,0,,0
164,2026-04-14,Chennai,Progressive,1.56,-2.86,Photochromic,Rimless,1,Lens Cutting,120,34,166,0,0,,0
165,2026-05-20,Delhi,Single Vision,1.56,-1.36,Photochromic,Full Rim,1,Shipped,48,66,68,0,0,,0
166,2026-02-01,Chennai,Single Vision,1.56,-5.56,UV Protection,Half Rim,1,Order Placed,48,51,73,0,0,,0
167,2025-01-28,Delhi,High Index,1.74,4.42,Anti Glare,Sports,0,Order Placed,168,29,173,0,0,Supplier Delay,1
168,2026-03-19,Chennai,Single Vision,1.6,4.47,Photochromic,Aviator,1,QC,48,15,86,0,0,,0
169,2026-02-01,Delhi,Single Vision,1.5,-0.83,Anti Glare,Sports,1,Assembly,48,1,81,0,0,,0
170,2024-07-18,Chennai,Bifocal,1.5,-3.82,Blue Cut,Sports,1,QC,96,61,68,0,0,,0
171,2025-07-29,Hyderabad,Progressive,1.5,-1.39,Anti Glare,Sports,1,Lens Cutting,120,56,169,0,0,,0
172,2025-08-14,Hyderabad,Bifocal,1.5,-0.35,Blue Cut,Sports,0,Lens Cutting,96,39,111,0,0,Logistics Delay,1
173,2025-10-04,Bangalore,Single Vision,1.74,-4.44,UV Protection,Full Rim,1,Lens Cutting,48,42,43,1,1,,0
174,2025-07-31,Bangalore,Single Vision,1.6,-4.71,Blue Cut,Full Rim,1,Shipped,48,42,65,1,1,Inventory Shortage,1
175,2026-01-18,Hyderabad,Progressive,1.74,2.51,Anti Glare,Aviator,1,Prescription Verification,120,48,195,0,0,,0
176,2025-08-22,Bangalore,Single Vision,1.6,-6.47,Blue Cut,Full Rim,1,Assembly,48,43,70,0,0,,0
177,2026-03-12,Delhi,Progressive,1.56,-5.66,Photochromic,Sports,1,Coating,120,34,97,0,0,,0
178,2024-10-30,Chennai,Single Vision,1.67,3.65,Anti Glare,Rimless,1,QC,48,14,42,0,0,,0
179,2024-11-27,Mumbai,High Index,1.74,4.9,Photochromic,Sports,0,Assembly,168,26,116,0,0,,0
180,2026-01-19,Chennai,Single Vision,1.5,4.81,Blue Cut,Sports,1,QC,48,21,34,0,0,,0
181,2024-11-24,Delhi,Single Vision,1.74,4.19,Anti Glare,Rimless,1,QC,48,60,34,0,0,,0
182,2025-01-26,Hyderabad,Single Vision,1.67,4.69,Blue Cut,Aviator,0,Prescription Verification,48,64,65,0,0,Logistics Delay,1
183,2025-03-05,Delhi,Progressive,1.5,1.79,Anti Glare,Rimless,0,Prescription Verification,120,46,87,0,0,,0
184,2025-07-16,Bangalore,Bifocal,1.5,-0.76,Photochromic,Half Rim,1,Lens Cutting,96,66,152,1,1,Supplier Delay,1
185,2024-11-20,Delhi,Single Vision,1.6,-1.74,Anti Glare,Aviator,1,Lens Cutting,48,6,81,0,0,,0
186,2024-10-17,Mumbai,Single Vision,1.74,-7.43,Blue Cut,Aviator,1,Shipped,48,62,53,0,0,,0
187,2025-05-06,Hyderabad,Single Vision,1.56,-3.72,Photochromic,Full Rim,1,QC,48,1,65,0,0,,0
188,2024-07-23,Delhi,Progressive,1.5,-7.64,Blue Cut,Half Rim,1,Assembly,120,45,64,0,0,,0
189,2025-08-20,Hyderabad,Bifocal,1.6,3.47,Photochromic,Half Rim,1,Packing,96,59,163,0,0,,0
190,2025-07-24,Delhi,Single Vision,1.67,-4.47,Anti Glare,Aviator,1,QC,48,41,59,0,0,,0
191,2025-08-19,Hyderabad,Single Vision,1.5,-7.92,Photochromic,Full Rim,1,QC,48,13,67,0,0,,0
192,2026-04-08,Bangalore,Single Vision,1.74,-4.73,Photochromic,Sports,1,Assembly,48,6,62,0,0,,0
193,2025-03-22,Chennai,Single Vision,1.6,-4.67,Blue Cut,Full Rim,1,Lens Cutting,48,61,70,0,0,,0
194,2025-06-26,Chennai,Progressive,1.56,5.06,Blue Cut,Aviator,1,Shipped,120,44,84,0,0,,0
195,2025-11-23,Delhi,Single Vision,1.56,-3.46,Anti Glare,Aviator,1,QC,48,51,80,0,0,,0
196,2026-02-24,Delhi,Single Vision,1.6,-3.43,Photochromic,Sports,1,Delivered,48,50,28,0,0,,0
197,2026-04-05,Mumbai,Single Vision,1.74,-5.36,Blue Cut,Full Rim,1,Order Placed,48,42,62,0,0,,0
198,2025-05-08,Bangalore,Progressive,1.74,-7.53,Photochromic,Full Rim,1,Lens Cutting,120,48,185,0,0,,0
199,2024-11-13,Chennai,Progressive,1.67,-1.67,Anti Glare,Rimless,1,QC,120,25,194,0,0,,0
200,2026-01-27,Chennai,Single Vision,1.74,-4.47,Photochromic,Rimless,1,Coating,48,28,25,0,0,,0
201,2025-02-04,Bangalore,Progressive,1.56,-3.48,Photochromic,Half Rim,1,Coating,120,39,151,0,0,,0
202,2025-09-27,Mumbai,Single Vision,1.6,4.7,Photochromic,Full Rim,1,Shipped,48,63,65,0,0,,0
203,2025-09-14,Hyderabad,High Index,1.6,-0.34,UV Protection,Aviator,1,Prescription Verification,168,16,181,0,0,,0
204,2025-10-07,Delhi,Bifocal,1.56,-5.5,Blue Cut,Sports,0,Lens Cutting,96,33,172,0,0,Inventory Shortage,1
205,2024-12-29,Bangalore,Single Vision,1.67,-2.86,UV Protection,Full Rim,1,Packing,48,48,24,0,0,,0
206,2025-04-13,Delhi,Single Vision,1.74,5.96,Blue Cut,Full Rim,1,QC,48,60,85,0,0,,0
207,2024-10-06,Delhi,Single Vision,1.74,-0.61,UV Protection,Sports,1,Shipped,48,56,30,0,0,,0
208,2025-10-20,Mumbai,Single Vision,1.74,-4.55,Photochromic,Aviator,1,Order Placed,48,49,36,0,0,,0
209,2024-11-06,Mumbai,Single Vision,1.5,-0.33,Blue Cut,Full Rim,1,Coating,48,58,32,0,0,,0
210,2026-01-20,Chennai,Single Vision,1.5,5.13,Photochromic,Rimless,1,Assembly,48,49,53,0,0,,0
211,2024-08-12,Chennai,Single Vision,1.6,-7.34,Anti Glare,Full Rim,1,Order Placed,48,42,60,0,0,,0
212,2026-03-04,Delhi,Progressive,1.67,-3.85,Anti Glare,Half Rim,1,Shipped,120,42,107,0,0,,0
213,2025-02-01,Bangalore,Progressive,1.74,5.41,UV Protection,Half Rim,0,Lens Cutting,120,34,118,0,0,,0
214,2024-10-23,Mumbai,Single Vision,1.6,-7.3,Blue Cut,Full Rim,1,Shipped,48,18,39,0,0,,0
215,2026-05-19,Chennai,Bifocal,1.74,5.81,Photochromic,Aviator,1,Packing,96,64,151,0,0,,0
216,2025-04-05,Mumbai,Single Vision,1.6,2.74,Blue Cut,Rimless,1,Order Placed,48,40,40,0,0,,0
217,2025-02-26,Delhi,Single Vision,1.74,0.09,Photochromic,Full Rim,1,Prescription Verification,48,44,29,0,0,,0
218,2024-08-11,Delhi,Progressive,1.5,3.46,Blue Cut,Full Rim,1,Lens Cutting,120,64,157,1,1,QC Failure,1
219,2026-02-26,Delhi,Single Vision,1.5,5.16,UV Protection,Aviator,1,Shipped,48,16,44,0,0,,0
220,2025-08-06,Hyderabad,High Index,1.6,3.09,UV Protection,Rimless,0,Assembly,168,19,289,0,0,Inventory Shortage,1
221,2024-09-26,Bangalore,Single Vision,1.56,5.17,Blue Cut,Rimless,0,Order Placed,48,68,43,0,0,,0
